geo_loc_name	count	center_latitude	center_longitude	radius_meters	status	inferred_lat	inferred_lon
Arctic Ocean: Hook Island	4	80.33333333247501	52.783333332474996	0.0	success	-20.1189023	148.9134288
Arctic Ocean: Luigi island	4	80.7666666667	54.65	0	success	80.7955118	54.8999691
Australia: New South Wales, Botany Bay, Bare Island	6	-33.99138	151.232539	0	success	-33.9920391	151.2312215
Australia: Victoria , Melbourne	28	-37.796972960817236	144.95895892649094	0.0	success	-37.8142454	144.9631732
Australia: Western Australia, Two Peoples Bay Nature Reserve	3	-34.950556	118.10083300000001	0.0	success	-34.9871658	118.16462
Brazil: Macapa	3	-0.09716666666666667	-51.04143333333334	3708.0	success	0.0401529	-51.0569588
Brazil: Obidos	2	-1.919	-55.5257	0	success	-1.901072	-55.520812
Brazil: Santarem	3	-2.4843	-55.0075	0	success	-2.438489	-54.699611
Cameroon: Lobeke National Park	1	2.2232	16.1901	0	success	2.3041955	15.8658669
Canada: British Columbia	3	50.283433333333335	-120.51283333333333	120309.2	success	55.001251	-125.002441
Canada: Nova Scotia, Bay of Fundy	4	44.6595	-66.2165	2037.3	success	44.8512466	-66.1977817
Canada: Tsiigehtchic, Northwest Territories	3	67.4333	-133.75	0	success	67.4420369	-133.742319
Canada: Winnipeg, Manitoba	1	49.8687	-97.408	0	success	49.8844723	-97.1468149
Congo: Brazzaville	11	-4.309199999999999	15.235600000000003	0.0	success	-0.7264327	15.6419155
Congo: Epena	1	1.3199	17.4402	0	success	0.8727377	17.1913954
Congo: Likouala	1	2.0589	18.0605	0	success	1.6788828	17.4747723
Congo: Moembe	1	-2.9134	15.6292	0	success	-2.9146722	15.6305651
Congo: Oyo	1	-1.1578	15.9672	0	success	-1.1603788	15.9735205
Costa Rica: Carara National Park	12	9.778416666666665	-84.60591000000001	203.2	success	9.7900999	-84.5709133
Costa Rica: Puerto Viejo, La Selva Biological Station	16	10.431121875	-84.00762	875.1	success	10.4246602	-84.0064343
DEU: Brandenburg	3	52.476254000000004	13.625943999999999	0.0	success	52.8455492	13.2461296
Germany: Brandenburg	1	52.4762	13.6259	0	success	52.8455492	13.2461296
Germany: Nordrhein-Westfalen, Cologne	28	50.95966328263345	6.860186268125374	0.0	success	50.938361	6.959974
Germany: Nordrhein-Westfalen, Julich	28	50.91020354498824	6.414313738007793	0.0	success	50.9220931	6.3611015
Honduras: Lago de Yojoa	13	14.871592307692309	-87.99619230769233	7027.5	success	14.8662786	-87.9767044
ISR: Golan Heights	1	32.899396	35.613661	0	success	33.0408017	35.7392885
Israel: Golan Heights	5	32.8993	35.6136	0	success	33.0408017	35.7392885
Italy: San Benigno Canavese, Piedmont	2	45.2476	7.8043	0	success	45.227052	7.785021
